attempt_id,base_id,source,label,base_text,tts_text,severity,tts_backend,voice,tts_quality,transcript,similarity,token_recall,status,flags,audio_path,error
dataset:6:v1,dataset:6,dataset,YES,"Mach das, die Frequenz kann geändert werden.","Mach das, die Frequenz kann geändert werden.",moderate,piper,de_DE-karlsson-low,low,mach das die frequenz kann geändert werden,1.0,1.0,generated,identical_to_clean,,
dataset:7:v1,dataset:7,dataset,YES,"Ja, stelle die Frequenz auf den genannten Wert.","Ja, stelle die Frequenz auf den genannten Wert.",moderate,piper,de_DE-thorsten-medium,medium,ja stelle die frequenz auf den genannten wert,1.0,1.0,generated,identical_to_clean,,
dataset:9:v1,dataset:9,dataset,YES,Bitte bestätige die Frequenzänderung und führe sie aus.,Bitte bestätige die Frequenzänderung und führe sie aus.,moderate,piper,de_DE-karlsson-low,low,bitte bestätige die frequenz änderung und führe sie aus,0.990826,0.875,generated,near_duplicate_clean,,
dataset:10:v1,dataset:10,dataset,YES,"Ja, die Frequenz soll höher werden.","Ja, die Frequenz soll höher werden.",moderate,piper,de_DE-thorsten-high,high,ja die frequenz soll höhe werden,0.984615,0.833333,generated,near_duplicate_clean,,
dataset:11:v1,dataset:11,dataset,YES,"Ja, die Frequenz darf niedriger gesetzt werden.","Ja, die Frequenz darf niedriger gesetzt werden.",clean,piper,de_DE-kerstin-low,low,ja die frequenz darf niedriger gesetzt werden,1.0,1.0,generated,identical_to_clean,,
dataset:12:v1,dataset:12,dataset,YES,"Richtig, nimm für die Frequenz den neuen Wert.","Richtig, nimm für die Frequenz den neuen Wert.",moderate,piper,de_DE-thorsten-high,high,durchweg nimmt die begrenzte neuen werden,0.682353,0.25,generated,heavy_information_loss,,
dataset:14:v1,dataset:14,dataset,YES,"Ja, so möchte ich die Frequenz haben.","Ja, so möchte ich die Frequenz haben.",clean,piper,de_DE-thorsten-high,high,ja so möchte ich die frequenz haben,1.0,1.0,generated,identical_to_clean,,
dataset:16:v1,dataset:16,dataset,YES,"Genau so, die Frequenz kannst du einstellen.","Genau so, die Frequenz kannst du einstellen.",clean,piper,de_DE-karlsson-low,low,genauso die frequenz kannst du einstellen,0.987952,0.714286,generated,near_duplicate_clean,,
dataset:18:v1,dataset:18,dataset,YES,"Ja bitte, setze die Signalrate so.","Ja bitte, setze die Signalrate so.",clean,piper,de_DE-karlsson-low,low,ja bitte setze die signal rate so,0.984615,0.833333,generated,near_duplicate_clean,,
dataset:20:v1,dataset:20,dataset,YES,"Mach das, die Signale sollen häufiger kommen.","Mach das, die Signale sollen häufiger kommen.",clean,piper,de_DE-karlsson-low,low,mach das die signale sollen häufiger kommen,1.0,1.0,generated,identical_to_clean,,
dataset:24:v1,dataset:24,dataset,YES,"Okay, ändere die Signalgeschwindigkeit entsprechend.","Okay, ändere die Signalgeschwindigkeit entsprechend.",moderate,piper,de_DE-thorsten-high,high,wir können kinder die sigmar geschwindigkeit entsprechen,0.792453,0.2,generated,heavy_information_loss,,
dataset:26:v1,dataset:26,dataset,YES,"Ja, übernimm diese Einstellung für die Signalrate.","Ja, übernimm diese Einstellung für die Signalrate.",moderate,piper,de_DE-kerstin-low,low,ja übernimmt diese einstellung für die signal rate,0.979592,0.714286,generated,near_duplicate_clean,,
dataset:29:v1,dataset:29,dataset,YES,"Das ist richtig, nimm die neue Signalrate.","Das ist richtig, nimm die neue Signalrate.",clean,piper,de_DE-thorsten-high,high,das ist richtig nimm die neues signal rate,0.97561,0.714286,generated,near_duplicate_clean,,
dataset:30:v1,dataset:30,dataset,YES,Genau so sollen die Abstandshinweise wiederholt werden.,Genau so sollen die Abstandshinweise wiederholt werden.,moderate,piper,de_DE-thorsten-high,high,genau so sollen die abstand hinweise wiederholt werden,0.981481,0.857143,generated,near_duplicate_clean,,
dataset:32:v1,dataset:32,dataset,YES,"Ja, sprich künftig schneller.","Ja, sprich künftig schneller.",clean,piper,de_DE-thorsten-medium,medium,ja spricht künftig schneller,0.981818,0.75,generated,near_duplicate_clean,,
dataset:33:v1,dataset:33,dataset,YES,"Ja bitte, ändere die Sprechgeschwindigkeit.","Ja bitte, ändere die Sprechgeschwindigkeit.",moderate,piper,de_DE-kerstin-low,low,ja bitte ändere die sprechgeschwindigkeit,1.0,1.0,generated,identical_to_clean,,
dataset:34:v1,dataset:34,dataset,YES,"Genau, das Sprechtempo soll langsamer werden.","Genau, das Sprechtempo soll langsamer werden.",clean,piper,de_DE-thorsten-high,high,genau das sprechtempo soll langsamer werden,1.0,1.0,generated,identical_to_clean,,
dataset:35:v1,dataset:35,dataset,YES,"Mach das, erhöhe das Vorlesetempo.","Mach das, erhöhe das Vorlesetempo.",clean,piper,de_DE-thorsten-high,high,mach das erhöhe das vorlese tempo,0.984615,0.8,generated,near_duplicate_clean,,
dataset:36:v1,dataset:36,dataset,YES,"Einverstanden, reduziere die Geschwindigkeit der Sprachausgabe.","Einverstanden, reduziere die Geschwindigkeit der Sprachausgabe.",moderate,piper,de_DE-kerstin-low,low,einverstanden reduziere die geschwindigkeit der sprachausgabe,1.0,1.0,generated,identical_to_clean,,
dataset:40:v1,dataset:40,dataset,YES,"Ja, die Stimme darf langsamer sprechen.","Ja, die Stimme darf langsamer sprechen.",clean,piper,de_DE-thorsten-medium,medium,ja die stimme darf langsame sprechen,0.986301,0.833333,generated,near_duplicate_clean,,
dataset:41:v1,dataset:41,dataset,YES,Bitte führe die Tempoänderung aus.,Bitte führe die Tempoänderung aus.,moderate,piper,de_DE-kerstin-low,low,bitte führe die tempo änderung aus,0.985075,0.8,generated,near_duplicate_clean,,
dataset:42:v1,dataset:42,dataset,YES,Genau so soll die Sprachausgabe künftig sprechen.,Genau so soll die Sprachausgabe künftig sprechen.,clean,piper,de_DE-thorsten-high,high,genauso soll die sprachausgabe künftig sprechen,0.989474,0.714286,generated,near_duplicate_clean,,
dataset:44:v1,dataset:44,dataset,YES,"Das passt, stelle die Geschwindigkeit so ein.","Das passt, stelle die Geschwindigkeit so ein.",moderate,piper,de_DE-thorsten-high,high,das passt stelle die geschwindigkeit so ein,1.0,1.0,generated,identical_to_clean,,
dataset:46:v1,dataset:46,dataset,YES,"Einverstanden, ändere die Geschwindigkeit der Ausgabe.","Einverstanden, ändere die Geschwindigkeit der Ausgabe.",moderate,piper,de_DE-kerstin-low,low,einverstanden ändere die geschwindigkeit der ausgabe,1.0,1.0,generated,identical_to_clean,,
dataset:47:v1,dataset:47,dataset,YES,"Ja, stelle die Stimme auf männlich.","Ja, stelle die Stimme auf männlich.",clean,piper,de_DE-thorsten-high,high,ja stelle die stimme auf männlich,1.0,1.0,generated,identical_to_clean,,
dataset:48:v1,dataset:48,dataset,YES,"Ja bitte, nimm die weibliche Stimme.","Ja bitte, nimm die weibliche Stimme.",moderate,piper,de_DE-thorsten-high,high,ja bitte nimm die weibliche stimme,1.0,1.0,generated,identical_to_clean,,
dataset:50:v1,dataset:50,dataset,YES,"Mach das, ich möchte die andere Stimme hören.","Mach das, ich möchte die andere Stimme hören.",clean,piper,de_DE-karlsson-low,low,mach das ich möchte die andere stimme hören,1.0,1.0,generated,identical_to_clean,,
dataset:51:v1,dataset:51,dataset,YES,"Einverstanden, verwende ab jetzt die Männerstimme.","Einverstanden, verwende ab jetzt die Männerstimme.",clean,piper,de_DE-karlsson-low,low,einverstanden verwende ab jetzt die männer stimmen,0.979592,0.833333,generated,near_duplicate_clean,,
dataset:52:v1,dataset:52,dataset,YES,"Ja, nimm künftig die Frauenstimme.","Ja, nimm künftig die Frauenstimme.",moderate,piper,de_DE-thorsten-high,high,ja nimm künftig die frauenstimme,1.0,1.0,generated,identical_to_clean,,
dataset:53:v1,dataset:53,dataset,YES,"Okay, ändere die Sprecherstimme.","Okay, ändere die Sprecherstimme.",moderate,piper,de_DE-thorsten-medium,medium,okay ändere die sprecherstimme,1.0,1.0,generated,identical_to_clean,,
dataset:54:v1,dataset:54,dataset,YES,"Richtig, die aktuelle Stimme soll gewechselt werden.","Richtig, die aktuelle Stimme soll gewechselt werden.",clean,piper,de_DE-thorsten-high,high,richtig die aktuelle stimme soll gewechselt werden,1.0,1.0,generated,identical_to_clean,,
dataset:56:v1,dataset:56,dataset,YES,"Genau so, verwende den anderen Sprecher.","Genau so, verwende den anderen Sprecher.",moderate,piper,de_DE-kerstin-low,low,genauso verwende den anderen sprecher,0.986667,0.666667,generated,near_duplicate_clean,,
dataset:57:v1,dataset:57,dataset,YES,"Ja, die Stimme darf geändert werden.","Ja, die Stimme darf geändert werden.",moderate,piper,de_DE-thorsten-high,high,ja die stimme darf geändert werden,1.0,1.0,generated,identical_to_clean,,
dataset:59:v1,dataset:59,dataset,YES,"Das passt, stelle die gewünschte Stimme ein.","Das passt, stelle die gewünschte Stimme ein.",clean,piper,de_DE-kerstin-low,low,das passt stelle die gewünschte stimme ein,1.0,1.0,generated,identical_to_clean,,
dataset:61:v1,dataset:61,dataset,YES,"Einverstanden, wechsel auf die genannte Stimme.","Einverstanden, wechsel auf die genannte Stimme.",moderate,piper,de_DE-karlsson-low,low,einverstanden wechselt auf die genannte stimmen,0.978261,0.666667,generated,near_duplicate_clean,,
dataset:62:v1,dataset:62,dataset,YES,"Ja, verlasse die Einstellungen und lies den Text.","Ja, verlasse die Einstellungen und lies den Text.",clean,piper,de_DE-karlsson-low,low,ja verlasse die einstellungen und lies den text,1.0,1.0,generated,identical_to_clean,,
dataset:63:v1,dataset:63,dataset,YES,"Ja bitte, geh aus den Einstellungen und erkenne das Objekt.","Ja bitte, geh aus den Einstellungen und erkenne das Objekt.",moderate,piper,de_DE-thorsten-high,high,ja bitte geh aus den einstellungen und erkenne das objekt,1.0,1.0,generated,identical_to_clean,,
dataset:64:v1,dataset:64,dataset,YES,"Genau, verlasse das Menü und miss den Abstand.","Genau, verlasse das Menü und miss den Abstand.",clean,piper,de_DE-karlsson-low,low,genau verlasse das menü und miss den abstand,1.0,1.0,generated,identical_to_clean,,
dataset:68:v1,dataset:68,dataset,YES,"Ja bitte, verlasse das Einstellungsmenü und bestimme die Entfernung.","Ja bitte, verlasse das Einstellungsmenü und bestimme die Entfernung.",clean,piper,de_DE-kerstin-low,low,ja bitte verlasse das einstellung menü und bestimme die entfernung,0.984848,0.888889,generated,near_duplicate_clean,,
dataset:70:v1,dataset:70,dataset,YES,"Ja, wechsel aus den Einstellungen zur Texterkennung.","Ja, wechsel aus den Einstellungen zur Texterkennung.",clean,piper,de_DE-kerstin-low,low,ja wechsel aus den einstellungen zur texter kennung,0.990099,0.857143,generated,near_duplicate_clean,,
dataset:71:v1,dataset:71,dataset,YES,"Okay, verlasse das Menü und schau, was vor mir ist.","Okay, verlasse das Menü und schau, was vor mir ist.",moderate,piper,de_DE-thorsten-medium,medium,okay verlasse das menü und schau was vor mir ist,1.0,1.0,generated,identical_to_clean,,
dataset:72:v1,dataset:72,dataset,YES,Bitte beende die Einstellungen und führe meinen vorherigen Befehl aus.,Bitte beende die Einstellungen und führe meinen vorherigen Befehl aus.,clean,piper,de_DE-karlsson-low,low,bitte beende die einstellungen und führe meinen vorherigen befehl aus,1.0,1.0,generated,identical_to_clean,,
dataset:73:v1,dataset:73,dataset,YES,"Ja, ich möchte die Einstellungen verlassen und mit der Messung fortfahren.","Ja, ich möchte die Einstellungen verlassen und mit der Messung fortfahren.",clean,piper,de_DE-karlsson-low,low,ja ich möchte die einstellungen verlassen und mit der messung fortfahren,1.0,1.0,generated,identical_to_clean,,
dataset:76:v1,dataset:76,dataset,YES,"Einverstanden, verlasse den Einstellungsdialog und führe die gespeicherte Aktion aus.","Einverstanden, verlasse den Einstellungsdialog und führe die gespeicherte Aktion aus.",clean,piper,de_DE-karlsson-low,low,einverstanden verlasse den einstellungen dialog und führe die gespeicherte aktion aus,0.97619,0.9,generated,near_duplicate_clean,,
dataset:77:v1,dataset:77,dataset,NO,"Nein, ändere die Frequenz nicht.","Nein, ändere die Frequenz nicht.",clean,piper,de_DE-karlsson-low,low,nein ändere die frequenzen,0.892857,0.6,generated,negation_lost,,
dataset:78:v1,dataset:78,dataset,NO,"Nein, ich möchte die Frequenz nicht ändern.","Nein, ich möchte die Frequenz nicht ändern.",moderate,piper,de_DE-thorsten-medium,medium,nein ich möchte die frequenz nicht ändern,1.0,1.0,generated,identical_to_clean,,
dataset:79:v1,dataset:79,dataset,NO,Lass die Frequenz bitte wie sie ist.,Lass die Frequenz bitte wie sie ist.,moderate,piper,de_DE-thorsten-high,high,lass die frequenz bitte wie sie ist,1.0,1.0,generated,identical_to_clean,,
dataset:81:v1,dataset:81,dataset,NO,"Mach das nicht, die Frequenz soll unverändert bleiben.","Mach das nicht, die Frequenz soll unverändert bleiben.",clean,piper,de_DE-thorsten-high,high,macht das nicht die frequenz soll unverändert bleiben,0.990476,0.875,generated,near_duplicate_clean,,
dataset:82:v1,dataset:82,dataset,NO,"Nein, stelle die Frequenz nicht auf den genannten Wert.","Nein, stelle die Frequenz nicht auf den genannten Wert.",moderate,piper,de_DE-kerstin-low,low,nein stelle die frequenz nicht auf den genannten wert,1.0,1.0,generated,identical_to_clean,,
dataset:83:v1,dataset:83,dataset,NO,"Das passt so nicht, ändere die Frequenz nicht.","Das passt so nicht, ändere die Frequenz nicht.",moderate,piper,de_DE-thorsten-high,high,das passt so nicht andere die frequenz nicht,0.977273,0.875,generated,near_duplicate_clean,,
dataset:84:v1,dataset:84,dataset,NO,Bitte verwirf die vorgeschlagene Frequenzänderung.,Bitte verwirf die vorgeschlagene Frequenzänderung.,moderate,piper,de_DE-kerstin-low,low,bitte verwirft die vorgeschlagene frequenz änderung,0.98,0.6,generated,near_duplicate_clean,,
dataset:89:v1,dataset:89,dataset,NO,"Nein, so möchte ich die Frequenz nicht haben.","Nein, so möchte ich die Frequenz nicht haben.",clean,piper,de_DE-kerstin-low,low,nein so möchte ich die frequenz nicht haben,1.0,1.0,generated,identical_to_clean,,
dataset:90:v1,dataset:90,dataset,NO,Übernimm diese Frequenzeinstellung bitte nicht.,Übernimm diese Frequenzeinstellung bitte nicht.,clean,piper,de_DE-thorsten-medium,medium,übernimmt diese frequenz einstellung bitte nicht,0.978723,0.6,generated,near_duplicate_clean,,
dataset:91:v1,dataset:91,dataset,NO,"Nein, führe die Frequenzänderung nicht aus.","Nein, führe die Frequenzänderung nicht aus.",clean,piper,de_DE-thorsten-high,high,nein führe die frequenz änderung nicht aus,0.987952,0.833333,generated,near_duplicate_clean,,
dataset:93:v1,dataset:93,dataset,NO,"Nein bitte, lass die Signalrate unverändert.","Nein bitte, lass die Signalrate unverändert.",clean,piper,de_DE-thorsten-medium,medium,nein bitte lass die signal rate unverändert,0.988235,0.833333,generated,near_duplicate_clean,,
dataset:94:v1,dataset:94,dataset,NO,Übernimm den neuen BPS-Wert nicht.,Übernimm den neuen Be Pe Es-Wert nicht.,moderate,piper,de_DE-thorsten-high,high,übernimmt den neuen gps werfen,0.825397,0.333333,generated,negation_lost,,
