attempt_id,base_id,source,label,base_text,tts_text,severity,tts_backend,voice,tts_quality,transcript,similarity,token_recall,status,flags,audio_path,error
dataset:2:v1,dataset:2,dataset,YES,"Ja, ändere die Frequenz.","Ja, ändere die Frequenz.",clean,piper,de_DE-thorsten-medium,medium,ja finden die frequenz,0.863636,0.75,generated,,,
dataset:3:v1,dataset:3,dataset,YES,"Ja, ich möchte, dass du die Frequenz änderst.","Ja, ich möchte, dass du die Frequenz änderst.",moderate,piper,de_DE-thorsten-medium,medium,ja ich möchte dass die die schwieg wenns ende,0.735632,0.625,generated,,,
dataset:4:v1,dataset:4,dataset,YES,"Genau, setze die Frequenz so.","Genau, setze die Frequenz so.",moderate,piper,de_DE-thorsten-high,high,genau wird für die frequenz so,0.77193,0.8,generated,,,
dataset:5:v1,dataset:5,dataset,YES,"Ja bitte, übernimm die neue Frequenz.","Ja bitte, übernimm die neue Frequenz.",moderate,piper,de_DE-karlsson-low,low,ja bitte übernimmt die neuer frequenz,0.972222,0.666667,generated,,,
dataset:6:v1,dataset:6,dataset,YES,"Mach das, die Frequenz kann geändert werden.","Mach das, die Frequenz kann geändert werden.",moderate,piper,de_DE-karlsson-low,low,mach das die frequenz kann geändert werden,1.0,1.0,generated,identical_to_clean,,
dataset:7:v1,dataset:7,dataset,YES,"Ja, stelle die Frequenz auf den genannten Wert.","Ja, stelle die Frequenz auf den genannten Wert.",moderate,piper,de_DE-thorsten-medium,medium,ja stelle die frequenz auf den genannten wert,1.0,1.0,generated,identical_to_clean,,
dataset:8:v1,dataset:8,dataset,YES,"Das passt, ändere die Frequenz entsprechend.","Das passt, ändere die Frequenz entsprechend.",moderate,piper,de_DE-thorsten-high,high,das passt findet die frequenz entsprechend,0.928571,0.833333,generated,,,
dataset:9:v1,dataset:9,dataset,YES,Bitte bestätige die Frequenzänderung und führe sie aus.,Bitte bestätige die Frequenzänderung und führe sie aus.,moderate,piper,de_DE-karlsson-low,low,bitte bestätige die frequenz änderung und führe sie aus,0.990826,0.875,generated,near_duplicate_clean,,
dataset:10:v1,dataset:10,dataset,YES,"Ja, die Frequenz soll höher werden.","Ja, die Frequenz soll höher werden.",moderate,piper,de_DE-thorsten-high,high,ja die frequenz soll höhe werden,0.984615,0.833333,generated,near_duplicate_clean,,
dataset:11:v1,dataset:11,dataset,YES,"Ja, die Frequenz darf niedriger gesetzt werden.","Ja, die Frequenz darf niedriger gesetzt werden.",clean,piper,de_DE-kerstin-low,low,ja die frequenz darf niedriger gesetzt werden,1.0,1.0,generated,identical_to_clean,,
dataset:12:v1,dataset:12,dataset,YES,"Richtig, nimm für die Frequenz den neuen Wert.","Richtig, nimm für die Frequenz den neuen Wert.",moderate,piper,de_DE-thorsten-high,high,durchweg nimmt die begrenzte neuen werden,0.682353,0.25,generated,heavy_information_loss,,
dataset:13:v1,dataset:13,dataset,YES,"Einverstanden, ändere die Tonfrequenz.","Einverstanden, ändere die Tonfrequenz.",moderate,piper,de_DE-kerstin-low,low,einverstanden ändere die tom frequenz,0.958904,0.75,generated,,,
